[    
    [255, 243, 128, 255],
    [153, 255, 148, 255],
    [255, 97, 228, 255],
    [112, 165, 255, 255],
    [255, 158, 188, 255],
    [151, 255, 81, 255],
    [76, 255, 127, 255],
    [122, 255, 76, 255],
    [255, 62, 30, 255],
    [163, 158, 255, 255],
    [255, 133, 255, 255],
    [40, 126, 255, 255],
    [163, 255, 216, 255],
    [51, 255, 129, 255],
    [255, 200, 138, 255],
    [255, 116, 97, 255],
    [25, 48, 255, 255],
    [46, 174, 255, 255],
    [255, 128, 247, 255],
    [255, 180, 76, 255],
    [255, 90, 76, 255],
    [146, 81, 255, 255],
    [255, 209, 143, 255],
    [255, 117, 217, 255],
    [88, 255, 46, 255],
    [112, 144, 255, 255],
    [174, 177, 255, 255],
    [255, 217, 163, 255],
    [199, 153, 255, 255],
    [182, 97, 255, 255],
    [255, 40, 44, 255],
    [255, 174, 219, 255],
    [174, 255, 246, 255],
    [224, 148, 255, 255],
    [196, 255, 66, 255],
    [192, 255, 102, 255],
    [255, 76, 93, 255],
    [61, 255, 134, 255],
    [107, 255, 156, 255],
    [255, 214, 107, 255],
    [193, 255, 56, 255],
    [148, 251, 255, 255],
    [215, 255, 163, 255],
    [35, 167, 255, 255],
    [214, 117, 255, 255],
    [128, 188, 255, 255],
    [133, 255, 245, 255],
    [91, 61, 255, 255],
    [133, 255, 229, 255],
    [136, 255, 51, 255],
    [255, 107, 149, 255],
    [255, 107, 172, 255],
    [207, 255, 174, 255],
    [237, 25, 255, 255],
    [255, 75, 61, 255],
    [255, 138, 207, 255],
    [66, 191, 255, 255],
    [255, 87, 111, 255],
    [209, 46, 255, 255],
    [66, 97, 255, 255],
    [255, 128, 144, 255],
    [255, 46, 242, 255],
    [25, 138, 255, 255],
    [174, 255, 71, 255],
    [92, 255, 216, 255],
    [45, 255, 25, 255],
    [51, 197, 255, 255],
    [61, 196, 255, 255],
    [51, 206, 255, 255],
    [163, 255, 171, 255],
    [87, 255, 145, 255],
    [102, 255, 212, 255],
    [255, 223, 117, 255],
    [46, 184, 255, 255],
    [170, 158, 255, 255],
    [168, 185, 255, 255],
    [255, 107, 246, 255],
    [255, 35, 215, 255],
    [132, 255, 76, 255],
    [66, 96, 255, 255],
    [255, 110, 76, 255],
    [255, 71, 100, 255],
    [243, 97, 255, 255],
    [56, 177, 255, 255],
    [255, 163, 193, 255],
    [224, 255, 81, 255],
    [178, 133, 255, 255],
    [255, 188, 46, 255],
    [255, 76, 216, 255],
    [107, 182, 255, 255],
    [187, 102, 255, 255],
    [158, 248, 255, 255],
    [205, 255, 25, 255],
    [255, 151, 148, 255],
    [76, 158, 255, 255],
    [255, 93, 56, 255],
    [153, 196, 255, 255],
    [255, 117, 166, 255],
    [215, 255, 46, 255],
    [203, 128, 255, 255],
]
